id;name;address;latitude;longitude;phone
1;sprinkles declaration;litter;ferociously;although up marvelous;817.977.7709
2;ew meh viability;although uh-huh chatter;after;for;(287) 635-8141 x6817
3;disapprove over whose;kowtow roughly however;who;kiddingly;1-452-714-8431 x821
4;even;fireplace appropriate;freely unaware monthly;till;1-773-538-8331 x62860
5;surprised;phooey oddly;impact agreement;amazing;(330) 345-3119 x0133
6;why towards;but;dwell nor discourse;boyfriend smarten a;226.266.4500 x1196
7;whoever anaesthetise reach;along;towards calmly;polyester;363.774.7815 x072
8;oof;uselessly;vacantly ack;tousle bowler;1-980-711-2321 x7894
9;duh distinction rule;oh after;ha;yippee repentant despite;1-722-226-2154
10;um;on until;forecast;staid pace;1-655-578-1554 x7821
