id;entity_type;entity_id;lang;value;description
1;scare towards;8507;EN;oh;orientate form atomize
2;banish ditch;28788;EN;how fooey;gee why
3;clamp furthermore;1503;RU;likely masticate sideboard;amazing circa ideal
4;dicker;25193;RU;almost;yieldingly corporation furthermore
5;how yum lift;16360;UZ;sweatshop sunbeam offensively;huzzah next forage
6;and revitalise gee;13054;EN;fiercely strait;cook amendment
7;aw;14340;EN;keenly although crystallize;gad
8;forenenst sunbeam even;26645;EN;gallivant quit;shirk toward crafty
9;print eternity favorite;21036;EN;hamburger gah;alligator quintuple well-worn
10;daily the;16380;UZ;boohoo qua sleet;duh
